iter	Logloss
0	0.6672505376
1	0.6403446221
2	0.6211247862
3	0.6041040125
4	0.5865591455
5	0.5706662472
6	0.5580640242
7	0.5477000386
8	0.5380105063
9	0.5264653213
10	0.5183090515
11	0.5100154004
12	0.5015299558
13	0.4950473345
14	0.4873464263
15	0.4784825884
16	0.4722448516
17	0.4669107484
18	0.4612479348
19	0.4564926166
20	0.4523017581
21	0.4486451724
22	0.4446910626
23	0.4416189639
24	0.4375152554
25	0.4339634951
26	0.4298787762
27	0.4270929264
28	0.4233681857
29	0.4197916845
30	0.4174732177
31	0.4152107935
32	0.4114784296
33	0.4096129515
34	0.4077386186
35	0.4040457918
36	0.4009867441
37	0.3987028146
38	0.3963332935
39	0.3949210094
40	0.3929885753
41	0.3899039099
42	0.388187213
43	0.3864603066
44	0.384892622
45	0.3841412367
46	0.3827150956
47	0.3791760062
48	0.3779961467
49	0.3766991014
50	0.3739106179
51	0.3727775213
52	0.3714165463
53	0.3701764396
54	0.36846341
55	0.3677180896
56	0.3658573703
57	0.3647875898
58	0.3636775215
59	0.3631584061
60	0.361407126
61	0.3604891845
62	0.3593270487
63	0.3586971488
64	0.3577759722
65	0.3563295477
66	0.3555659302
67	0.3545537405
68	0.35322776
69	0.3519373844
70	0.3514183506
71	0.3505249137
72	0.3500931002
73	0.3482481586
74	0.3474329027
75	0.346806869
76	0.3462965412
77	0.3458077758
78	0.3451616419
79	0.3442265889
80	0.343964098
81	0.3434786815
82	0.3428480887
83	0.3420516639
84	0.3415836205
85	0.3410596867
86	0.3401609388
87	0.33927799
88	0.3380183578
89	0.3374109745
90	0.3368762023
91	0.3364854323
92	0.3358172684
93	0.3352775345
94	0.3342723334
95	0.333940387
96	0.3327515837
97	0.3321899356
98	0.3317192627
99	0.3312252313
100	0.3309505064
101	0.3304973202
102	0.3297905465
103	0.3292844434
104	0.3288088827
105	0.3282989149
106	0.3278464756
107	0.3274464352
108	0.3265282836
109	0.326203342
110	0.3258699769
111	0.3256009432
112	0.3251867939
113	0.3249386065
114	0.3243322867
115	0.3240640669
116	0.3238135683
117	0.3230752866
118	0.3227467597
119	0.3224331609
120	0.3220604224
121	0.3216884601
122	0.3215657888
123	0.3212416413
124	0.320956002
125	0.3205251094
126	0.3198630318
127	0.3194789358
128	0.3190792492
129	0.3184759803
130	0.3181198266
131	0.3178408258
132	0.3175448604
133	0.3170612891
134	0.31680967
135	0.3165394377
136	0.3162535025
137	0.3160273819
138	0.3156557328
139	0.3152437462
140	0.3149505362
141	0.3146449231
142	0.3143029924
143	0.3140543141
144	0.3137343988
145	0.3131387419
146	0.3126761918
147	0.3123304647
148	0.3120825118
149	0.3118579048
150	0.3116580602
151	0.3113206094
152	0.3110344885
153	0.310566261
154	0.3103161247
155	0.3097933798
156	0.3095718724
157	0.3092614051
158	0.3088937382
159	0.3086730011
160	0.3083101458
161	0.3081672526
162	0.3078708572
163	0.3076365871
164	0.3072653469
165	0.3069066005
166	0.3066382251
167	0.3062894066
168	0.3057788071
169	0.3053717943
170	0.3048355731
171	0.3045420886
172	0.304357885
173	0.3038198088
174	0.3036603645
175	0.3035122307
176	0.303261663
177	0.3030710508
178	0.3027618926
179	0.302514793
180	0.3020999446
181	0.301869629
182	0.3014587149
183	0.3010803452
184	0.30071329
185	0.3004253607
186	0.2999970314
187	0.2997519758
188	0.2993526752
189	0.2989276765
190	0.2985395514
191	0.2980601569
192	0.2977853635
193	0.2972770393
194	0.2968433749
195	0.2964024643
196	0.2960871798
197	0.2957286139
198	0.2954301473
199	0.2949255122
200	0.2945910928
201	0.2942103515
202	0.2936625582
203	0.2935089941
204	0.2931438437
205	0.2929654752
206	0.292386734
207	0.2921352197
208	0.2918831847
209	0.2916619229
210	0.2914330192
211	0.2911225317
212	0.2906830394
213	0.2903248744
214	0.2898511221
215	0.2896051402
216	0.2893285642
217	0.2889318002
218	0.2884472826
219	0.2881951938
220	0.2879315753
221	0.2876736702
222	0.2873055585
223	0.2870281929
224	0.2868042767
225	0.286448154
226	0.2862478552
227	0.2860126272
228	0.2857286638
229	0.2855083904
230	0.2852219052
231	0.2850018225
232	0.2846221885
233	0.2842330139
234	0.283964113
235	0.2836217276
236	0.2833895783
237	0.283143866
238	0.2828665986
239	0.2826326486
240	0.282373473
241	0.2820853435
242	0.2817545678
243	0.2815439089
244	0.2812961429
245	0.2809041848
246	0.2806338928
247	0.2804282313
248	0.2801489581
249	0.2798645894
250	0.2796395294
251	0.2792487422
252	0.2789892066
253	0.2786670708
254	0.2783105506
255	0.2781077119
256	0.2778188954
257	0.2775866417
258	0.2771501205
259	0.2769469822
260	0.2767859629
261	0.2765050271
262	0.2761567806
263	0.2759319915
264	0.2757148928
265	0.2755355634
266	0.2753320026
267	0.2750806529
268	0.2747372868
269	0.2745464732
270	0.2743110567
271	0.2741178037
272	0.2738991293
273	0.2736630588
274	0.2734000677
275	0.2730119288
276	0.2726178123
277	0.2722444201
278	0.2716982186
279	0.2714232966
280	0.2711132156
281	0.2709010638
282	0.2705532887
283	0.2702704303
284	0.2699301427
285	0.269565576
286	0.269361759
287	0.2692011435
288	0.2689263892
289	0.2685993822
290	0.2682434037
291	0.2680481543
292	0.2677391629
293	0.2674598858
294	0.2673000036
295	0.2671162958
296	0.2668577348
297	0.2666153245
298	0.2663741974
299	0.2661537016
