iter	Passed	Remaining
0	13	3922
1	24	3716
2	35	3486
3	45	3343
4	55	3261
5	64	3155
6	74	3136
7	83	3029
8	92	2985
9	101	2933
10	110	2890
11	118	2849
12	127	2811
13	136	2788
14	145	2764
15	155	2758
16	165	2753
17	173	2721
18	182	2700
19	191	2675
20	198	2641
21	207	2627
22	216	2610
23	225	2591
24	233	2571
25	241	2548
26	249	2526
27	257	2505
28	266	2494
29	276	2488
30	284	2472
31	293	2458
32	302	2447
33	310	2429
34	319	2420
35	328	2405
36	337	2399
37	346	2387
38	357	2394
39	369	2401
40	377	2387
41	389	2392
42	400	2390
43	409	2380
44	419	2375
45	430	2378
46	441	2374
47	449	2362
48	457	2346
49	468	2340
50	476	2326
51	483	2305
52	490	2287
53	498	2269
54	505	2253
55	515	2244
56	524	2237
57	533	2225
58	542	2214
59	550	2203
60	559	2193
61	569	2184
62	579	2179
63	588	2168
64	596	2156
65	604	2144
66	613	2134
67	621	2121
68	631	2114
69	640	2103
70	648	2093
71	657	2082
72	666	2073
73	675	2062
74	683	2049
75	692	2041
76	699	2026
77	707	2014
78	716	2003
79	725	1993
80	732	1981
81	741	1971
82	750	1961
83	761	1958
84	776	1964
85	789	1963
86	797	1952
87	805	1940
88	813	1929
89	824	1923
90	832	1912
91	840	1900
92	849	1889
93	858	1881
94	866	1870
95	875	1860
96	883	1849
97	892	1839
98	902	1831
99	910	1821
100	920	1812
101	928	1802
102	936	1792
103	944	1779
104	953	1771
105	967	1771
106	978	1764
107	987	1755
108	995	1745
109	1004	1735
110	1013	1726
111	1023	1717
112	1032	1708
113	1040	1698
114	1050	1689
115	1059	1679
116	1067	1669
117	1075	1658
118	1082	1646
119	1088	1633
120	1096	1622
121	1105	1612
122	1112	1601
123	1122	1592
124	1131	1584
125	1139	1574
126	1148	1564
127	1157	1555
128	1166	1546
129	1175	1536
130	1183	1527
131	1192	1517
132	1200	1507
133	1208	1497
134	1217	1487
135	1224	1477
136	1233	1467
137	1241	1457
138	1250	1448
139	1259	1439
140	1269	1431
141	1278	1422
142	1291	1417
143	1301	1409
144	1311	1401
145	1319	1392
146	1330	1384
147	1337	1373
148	1347	1365
149	1355	1355
150	1365	1347
151	1375	1339
152	1384	1330
153	1393	1320
154	1401	1311
155	1411	1302
156	1419	1293
157	1428	1283
158	1436	1273
159	1444	1264
160	1453	1254
161	1461	1245
162	1469	1235
163	1478	1226
164	1487	1217
165	1498	1209
166	1509	1201
167	1517	1192
168	1526	1183
169	1535	1174
170	1544	1165
171	1554	1156
172	1562	1146
173	1572	1138
174	1580	1129
175	1588	1119
176	1598	1110
177	1609	1102
178	1620	1095
179	1630	1086
180	1639	1078
181	1648	1068
182	1656	1059
183	1664	1049
184	1671	1039
185	1679	1029
186	1687	1019
187	1697	1011
188	1705	1001
189	1714	992
190	1722	983
191	1730	973
192	1740	965
193	1750	956
194	1759	947
195	1769	938
196	1780	930
197	1789	921
198	1799	913
199	1809	904
200	1821	897
201	1834	890
202	1845	882
203	1855	872
204	1864	863
205	1872	854
206	1880	844
207	1890	836
208	1898	826
209	1906	817
210	1914	807
211	1924	798
212	1933	789
213	1944	781
214	1960	774
215	1974	767
216	1987	760
217	1998	751
218	2009	743
219	2018	733
220	2028	725
221	2040	717
222	2048	707
223	2057	698
224	2066	688
225	2074	679
226	2081	669
227	2089	659
228	2099	650
229	2107	641
230	2116	632
231	2124	622
232	2132	613
233	2141	603
234	2149	594
235	2157	585
236	2167	576
237	2176	566
238	2185	557
239	2194	548
240	2203	539
241	2212	530
242	2220	520
243	2229	511
244	2237	502
245	2246	493
246	2255	483
247	2262	474
248	2270	465
249	2278	455
250	2284	446
251	2291	436
252	2298	427
253	2307	417
254	2315	408
255	2324	399
256	2333	390
257	2342	381
258	2352	372
259	2361	363
260	2370	354
261	2381	345
262	2394	336
263	2404	327
264	2413	318
265	2425	309
266	2433	300
267	2442	291
268	2451	282
269	2459	273
270	2467	264
271	2474	254
272	2482	245
273	2490	236
274	2498	227
275	2506	217
276	2514	208
277	2522	199
278	2530	190
279	2539	181
280	2547	172
281	2555	163
282	2564	154
283	2575	145
284	2584	136
285	2592	126
286	2602	117
287	2611	108
288	2619	99
289	2628	90
290	2636	81
291	2645	72
292	2654	63
293	2663	54
294	2671	45
295	2680	36
296	2688	27
297	2697	18
298	2706	9
299	2715	0
