Probability,RiskLevel
0.010418392,Low Risk
0.93182975,High Risk
0.066310845,Low Risk
0.3377947,Medium Risk
0.004011724,Low Risk
0.78781086,High Risk
0.46508572,Medium Risk
0.15166952,Low Risk
0.011508209,Low Risk
0.47045252,Medium Risk
0.398333,Medium Risk
0.00515757,Low Risk
0.06903042,Low Risk
0.88780403,High Risk
0.12786284,Low Risk
0.032649044,Low Risk
0.014321453,Low Risk
0.7305936,High Risk
0.29609364,Low Risk
0.09922282,Low Risk
0.73138946,High Risk
0.15003258,Low Risk
0.00851131,Low Risk
0.016320711,Low Risk
0.06585245,Low Risk
0.16796401,Low Risk
0.5625365,Medium Risk
0.7679634,High Risk
0.055578955,Low Risk
0.790016,High Risk
0.360595,Medium Risk
0.5642815,Medium Risk
0.0035475567,Low Risk
0.0072957743,Low Risk
0.8944657,High Risk
0.07793084,Low Risk
0.48980546,Medium Risk
0.0027522226,Low Risk
0.94232786,High Risk
0.06591297,Low Risk
0.0037107945,Low Risk
0.9808816,High Risk
0.3587154,Medium Risk
0.25521463,Low Risk
0.08483244,Low Risk
0.59011984,Medium Risk
0.7286418,High Risk
0.19007756,Low Risk
0.003529204,Low Risk
0.12296334,Low Risk
0.004034472,Low Risk
0.9711077,High Risk
0.18748027,Low Risk
0.3160664,Medium Risk
0.49458042,Medium Risk
0.68726635,Medium Risk
0.0810309,Low Risk
0.042952612,Low Risk
0.025569865,Low Risk
0.0069362265,Low Risk
0.0024370654,Low Risk
0.010838537,Low Risk
0.171553,Low Risk
0.15153775,Low Risk
0.33707103,Medium Risk
0.77063334,High Risk
0.17477746,Low Risk
0.20865363,Low Risk
0.0905439,Low Risk
0.91725993,High Risk
0.0016196627,Low Risk
0.0072444007,Low Risk
0.51947826,Medium Risk
0.08945676,Low Risk
0.081724815,Low Risk
0.034461234,Low Risk
0.043893997,Low Risk
0.652516,Medium Risk
0.16476142,Low Risk
0.013966495,Low Risk
0.022413814,Low Risk
0.004383381,Low Risk
0.12754498,Low Risk
0.906473,High Risk
0.044692505,Low Risk
0.1433791,Low Risk
0.7062158,High Risk
0.6611198,Medium Risk
0.55771315,Medium Risk
0.07413183,Low Risk
0.3667918,Medium Risk
0.24864511,Low Risk
0.0035891233,Low Risk
0.63285255,Medium Risk
0.6264008,Medium Risk
0.010179738,Low Risk
0.49542797,Medium Risk
0.0028472373,Low Risk
0.8815293,High Risk
0.16313572,Low Risk
0.5703902,Medium Risk
0.57642865,Medium Risk
0.60177606,Medium Risk
0.16240816,Low Risk
0.2739637,Low Risk
0.0045550605,Low Risk
0.19176659,Low Risk
0.0111801755,Low Risk
0.098636165,Low Risk
0.074697964,Low Risk
0.012796265,Low Risk
0.4643862,Medium Risk
0.18373418,Low Risk
0.69987816,Medium Risk
0.7605307,High Risk
0.005979885,Low Risk
0.71874726,High Risk
0.47693515,Medium Risk
0.011621524,Low Risk
0.014107305,Low Risk
0.006836126,Low Risk
0.9002797,High Risk
0.020487506,Low Risk
0.011390255,Low Risk
0.9122194,High Risk
0.023939868,Low Risk
0.53393584,Medium Risk
0.09779272,Low Risk
0.5000174,Medium Risk
0.07971897,Low Risk
0.48686996,Medium Risk
0.48842043,Medium Risk
0.079660416,Low Risk
0.041343596,Low Risk
0.0171244,Low Risk
0.13722679,Low Risk
0.013946823,Low Risk
0.061421014,Low Risk
0.0035880033,Low Risk
0.61312175,Medium Risk
0.44317243,Medium Risk
0.058996893,Low Risk
0.42612836,Medium Risk
